wk,n,anger,share_angry,anger_dem,anger_rep,n_dem,n_rep,disgust,fear,sadness,joy,baseline,excess,spike_score,dem_excess,rep_excess
2024-12-30,3668,0.2460748172962313,0.2257360959651036,0.186476297439264,0.286113749231073,1511.0,2127.0,0.23215952814778062,0.14513641711278244,0.11981478035833378,0.5365323296225312,0.33931407598199886,-0.09323925868576757,-2.383902279240892,-0.08826395649169691,-0.06347319772764937
2025-01-06,5366,0.3164684271066409,0.3067461796496459,0.26841455044243706,0.3495869469587224,2273.0,3052.0,0.2938476124295199,0.18960169355691858,0.13542810808566957,0.45375420320665405,0.33931407598199886,-0.02284564887535795,-0.5819931587336626,-0.032652728108018,0.0
2025-01-13,6081,0.33714354490537224,0.3277421476730801,0.30106727855045506,0.36108665446691374,2597.0,3431.0,0.31080763855099963,0.15914292766481652,0.12247098836624501,0.44650041395263823,0.378782416477326,-0.041638871571953784,-1.0847591278144495,-0.10313169559942442,0.005975687576858124
2025-01-20,7818,0.378782416477326,0.381171655154771,0.4734812494134889,0.3088419725204396,3247.0,4529.0,0.35320691920939123,0.16918346705201068,0.13290938738492658,0.4285393601506077,0.4006642001737083,-0.021881783696382273,-0.5688208870989865,0.0,-0.04626899436961601
2025-01-27,7313,0.43319382104611576,0.441268973061671,0.5234655190886666,0.3412854439198562,3641.0,3626.0,0.41642291661791025,0.22563654765615723,0.2093501881054177,0.34385423276120813,0.43319382104611576,0.0,0.0,0.0,-0.019801210547057524
2025-02-03,8323,0.4693598064130044,0.4831190676438784,0.5782453235539156,0.3703462290988843,3882.0,4382.0,0.439285255071265,0.19557682347652786,0.1410086818981482,0.34028405281713414,0.43319382104611576,0.03616598536688864,0.9672785965371056,0.054779804465248993,0.009843147753387904
2025-02-10,7262,0.4574586865581296,0.47190856513357204,0.547944327048066,0.3696825527929862,3502.0,3711.0,0.43146200780513105,0.18551920267364205,0.14968849453575964,0.3570209765549404,0.45602099833426996,0.0014376882238596456,0.0385493590774938,0.0,0.00870032934831505
2025-02-17,6476,0.45602099833426996,0.47035206917850525,0.5645243622608114,0.3551109668900556,3069.0,3348.0,0.43537262423630396,0.19044370971871896,0.16812174845086508,0.3488611315381802,0.4574586865581296,-0.0014376882238596456,-0.03855002378642196,0.007276374856314272,-0.0058712565546155115
2025-02-24,8338,0.48216612934928277,0.4965219477092828,0.5826028484159665,0.37930852423889383,4137.0,4151.0,0.45734742944068274,0.17762719506660776,0.17211477665868863,0.33091919560093297,0.4574586865581296,0.024707442791153167,0.6588334605543424,0.025354861011469443,0.018326300794222705
2025-03-03,9784,0.4671724252347573,0.48047833197056417,0.577868994945613,0.3730420613427481,4414.0,5307.0,0.44093972807097115,0.16438984232306447,0.17727338944985177,0.3520335667370266,0.4574586865581296,0.009713738676627726,0.2574475472213486,0.020621007541115843,0.012538979997251676
