cycle,party,weeks_to_election,n,anger
2018,Republican,63,2117,0.13523573608563955
2018,Republican,64,1758,0.2213709275971937
2018,Republican,65,2059,0.11082866462603422
2018,Republican,66,2052,0.15441588529151434
2018,Republican,67,2358,0.14415345410875616
2018,Republican,68,2540,0.14409916039068604
2018,Republican,69,1516,0.126169238090552
2018,Republican,70,1739,0.1551165596762476
2018,Republican,71,2293,0.12660064336848256
2018,Republican,72,2451,0.1312091095218764
2018,Republican,73,2111,0.14386015958653448
2018,Republican,74,1276,0.1276014880072851
2018,Republican,75,1559,0.13035299445635676
2018,Republican,76,2006,0.12211910152254424
2018,Republican,77,1553,0.1168029544878324
2018,Republican,78,1734,0.16010496749745676
2018,Republican,79,2169,0.14076909655683625
2018,Republican,80,1594,0.09618121314644253
2018,Republican,81,1310,0.08025790152339023
2018,Republican,82,2072,0.16032159164265647
2018,Republican,83,1926,0.13901210201566658
2018,Republican,84,1823,0.17117744011245567
2018,Republican,85,2062,0.12844462113777422
2018,Republican,86,2030,0.14380146665292162
2018,Republican,87,2329,0.13563427012177812
2018,Republican,88,1892,0.1226214658177062
2018,Republican,89,1583,0.14179116942898023
2018,Republican,90,1614,0.14993696107212892
2018,Republican,91,2204,0.18337017600044284
2018,Republican,92,1897,0.18424694816352144
2018,Republican,93,2442,0.14824179981882477
2018,Republican,94,1864,0.17617933045325265
2018,Republican,95,2312,0.19141860288317286
2018,Republican,96,925,0.13375369608125373
2018,Republican,97,914,0.20614582236756365
2018,Republican,98,1536,0.1522132931889549
2018,Republican,99,2122,0.10643608422408321
2018,Republican,100,2041,0.13227430972878013
2018,Republican,101,1026,0.11164280263658025
2018,Republican,102,1063,0.1197282446584264
2018,Republican,103,997,0.10367998621569444
2020,Democrat,0,7129,0.23497903720373967
2020,Democrat,1,7774,0.35197725667259894
2020,Democrat,2,6778,0.2981852035319301
2020,Democrat,3,6491,0.3268885798447415
2020,Democrat,4,7300,0.32625339803777076
2020,Democrat,5,8091,0.34485516321252324
2020,Democrat,6,7762,0.2815885558612278
2020,Democrat,7,6991,0.3081416794558647
2020,Democrat,8,5127,0.317925983765247
2020,Democrat,9,5332,0.3189668425118054
2020,Democrat,10,6930,0.3506471573741378
2020,Democrat,11,6836,0.38511432076541674
2020,Democrat,12,6522,0.33563053825070777
2020,Democrat,13,7828,0.3318916912790598
2020,Democrat,14,7881,0.351202388354664
2020,Democrat,15,7132,0.3314650028933765
2020,Democrat,16,6316,0.3509283162308919
2020,Democrat,17,5717,0.2889284727453419
2020,Democrat,18,7406,0.3554371454965315
2020,Democrat,19,6901,0.31332805673299613
2020,Democrat,20,6362,0.33977405530866384
2020,Democrat,21,6544,0.3731295490992645
2020,Democrat,22,6525,0.3919194273118258
2020,Democrat,23,5336,0.23257771005822245
2020,Democrat,24,6723,0.23711934382881802
2020,Democrat,25,7220,0.245193481445248
2020,Democrat,26,7014,0.22603249809703924
2020,Democrat,27,7331,0.22381510799657947
2020,Democrat,28,7483,0.24862590970163592
2020,Democrat,29,7033,0.19579332667903743
2020,Democrat,30,7557,0.22801800050034643
2020,Democrat,31,7853,0.18621893654636495
2020,Democrat,32,9583,0.1991110545998583
2020,Democrat,33,7496,0.2121641668438573
2020,Democrat,34,6398,0.2400654862971383
2020,Democrat,35,6725,0.285267412078508
2020,Democrat,36,4651,0.29331361319668714
2020,Democrat,37,5310,0.30946347968365207
2020,Democrat,38,7982,0.3881523188728799
2020,Democrat,39,6557,0.35753885196608237
2020,Democrat,40,6751,0.40141636563753047
2020,Democrat,41,5298,0.36533188472590533
2020,Democrat,42,5553,0.3696620883981117
2020,Democrat,43,3349,0.3813335906144673
2020,Democrat,44,2706,0.24936650683435682
2020,Democrat,45,6040,0.347042491738777
2020,Democrat,46,8722,0.32652427903086617
2020,Democrat,47,8812,0.37624025957487567
2020,Democrat,48,4179,0.25787491386326855
2020,Democrat,49,7856,0.32715639417398057
2020,Democrat,50,8753,0.36084689621916377
2020,Democrat,51,6212,0.254607503957522
2020,Democrat,52,7150,0.30116152859214773
2020,Democrat,53,8126,0.30371173423505887
2020,Democrat,54,7436,0.3447535447428449
2020,Democrat,55,4538,0.30612959343036605
2020,Democrat,56,4905,0.32538570811507783
2020,Democrat,57,5438,0.36454844516400575
2020,Democrat,58,6063,0.35162120537180164
2020,Democrat,59,5436,0.31987068563107107
2020,Democrat,60,4858,0.34075077748142363
2020,Democrat,61,3787,0.2897336393316107
2020,Democrat,62,3908,0.3020814135602743
2020,Democrat,63,4114,0.33406139099705595
2020,Democrat,64,4169,0.330638363034348
2020,Democrat,65,4552,0.3605572483201572
2020,Democrat,66,5517,0.36264137746231084
2020,Democrat,67,5486,0.31516488727303194
2020,Democrat,68,6366,0.3880952567552918
2020,Democrat,69,3937,0.33573546613892313
2020,Democrat,70,6111,0.3493546193992593
2020,Democrat,71,6615,0.3418441063442527
2020,Democrat,72,5918,0.3045251157657086
2020,Democrat,73,6002,0.2838509780123519
2020,Democrat,74,5465,0.27825468045140445
2020,Democrat,75,4967,0.3120696113349895
2020,Democrat,76,6387,0.33286277349648674
2020,Democrat,77,5882,0.3071105259634359
2020,Democrat,78,4806,0.32292112588885935
2020,Democrat,79,2801,0.2864357974986728
2020,Democrat,80,4500,0.29435525283258823
2020,Democrat,81,4759,0.2931313821774882
2020,Democrat,82,5295,0.31737604994305724
2020,Democrat,83,5753,0.32700302260477004
2020,Democrat,84,5172,0.30666057045032374
2020,Democrat,85,5332,0.32640226881372775
2020,Democrat,86,6440,0.3104106988735072
2020,Democrat,87,5348,0.3118171685262254
2020,Democrat,88,4654,0.3272735957464213
2020,Democrat,89,5255,0.3217886526018406
2020,Democrat,90,6828,0.29726249225960455
2020,Democrat,91,5313,0.29180775367707973
2020,Democrat,92,5653,0.43182324900203883
2020,Democrat,93,5872,0.4188965238377085
2020,Democrat,94,6358,0.4982072427462287
2020,Democrat,95,4715,0.39914408761737347
2020,Democrat,96,1335,0.4122979636851712
2020,Democrat,97,2983,0.481078180325871
2020,Democrat,98,3662,0.3895167566941805
2020,Democrat,99,3034,0.32764996573020166
2020,Democrat,100,3585,0.301180895011498
2020,Democrat,101,2129,0.3285032063547632
2020,Democrat,102,2866,0.34262146751241357
2020,Democrat,103,2532,0.310401189341254
2020,Republican,0,3298,0.2413238836700868
2020,Republican,1,4213,0.29164943472081484
2020,Republican,2,3464,0.3202302012443741
2020,Republican,3,3386,0.30680547916628553
2020,Republican,4,3594,0.24974465589605233
2020,Republican,5,3982,0.2559877955357674
2020,Republican,6,4277,0.2283908385756324
2020,Republican,7,3594,0.24279647197200707
2020,Republican,8,2662,0.24346031226335998
2020,Republican,9,2899,0.254893988842259
2020,Republican,10,3210,0.28800630729806515
2020,Republican,11,3111,0.25428199858848655
2020,Republican,12,3015,0.2915304031355884
2020,Republican,13,3511,0.2873599141623562
2020,Republican,14,3550,0.33495848874587725
2020,Republican,15,3274,0.2814285880955711
2020,Republican,16,3012,0.3057642210495088
2020,Republican,17,3079,0.2606861847539025
2020,Republican,18,3655,0.3907957160726913
2020,Republican,19,3404,0.279306349639215
2020,Republican,20,3084,0.24870662990188644
2020,Republican,21,3022,0.27659815714003
2020,Republican,22,3373,0.3597196448146204
2020,Republican,23,3059,0.24837523846588383
2020,Republican,24,3890,0.337435385545268
2020,Republican,25,3972,0.23715855423338789
2020,Republican,26,3602,0.21097343398176904
2020,Republican,27,3889,0.20027121565706776
2020,Republican,28,4396,0.2753078974993159
2020,Republican,29,4130,0.1970489539026754
2020,Republican,30,4290,0.17647385826987802
2020,Republican,31,4397,0.13873035937025788
2020,Republican,32,6225,0.22431414366048952
2020,Republican,33,4302,0.16579098703369138
2020,Republican,34,3426,0.1900320832800529
2020,Republican,35,3401,0.2152505363188454
2020,Republican,36,2543,0.221181011990202
2020,Republican,37,2546,0.2531931262619893
2020,Republican,38,4630,0.268442777354928
2020,Republican,39,3667,0.3210336274307659
2020,Republican,40,3887,0.382311137214316
2020,Republican,41,2900,0.30797446482076213
2020,Republican,42,3354,0.33013465951102994
2020,Republican,43,2181,0.3879208147533474
2020,Republican,44,1383,0.23570815452380578
2020,Republican,45,4267,0.415821630241974
2020,Republican,46,4693,0.38380655897203764
2020,Republican,47,5245,0.39007664814252263
2020,Republican,48,2268,0.26377485029262243
2020,Republican,49,3807,0.3308668308631432
2020,Republican,50,5014,0.40092220822995395
2020,Republican,51,3210,0.20203646812762055
2020,Republican,52,3742,0.34529910617588133
2020,Republican,53,4119,0.3211563293598606
2020,Republican,54,3685,0.3450128469956733
2020,Republican,55,2072,0.3230648867868635
2020,Republican,56,2325,0.30467629261154644
2020,Republican,57,2791,0.30720844346244425
2020,Republican,58,2951,0.232645658615447
2020,Republican,59,2974,0.23043680329391858
2020,Republican,60,2606,0.16542126807030033
2020,Republican,61,2172,0.13780122042786241
2020,Republican,62,2000,0.15591507777350488
2020,Republican,63,1635,0.16935498996278903
2020,Republican,64,1790,0.16834152405899455
2020,Republican,65,2114,0.22018589352851412
2020,Republican,66,2779,0.25832471137074803
2020,Republican,67,2670,0.27162858984356375
2020,Republican,68,3111,0.25464784984642413
2020,Republican,69,1839,0.16954722986548992
2020,Republican,70,2850,0.2390824432981511
2020,Republican,71,2900,0.23170976636128435
2020,Republican,72,3097,0.22383877416598422
2020,Republican,73,2773,0.19705640058611845
2020,Republican,74,2673,0.20989933850423473
2020,Republican,75,2547,0.1901440090872055
2020,Republican,76,3139,0.20509251357136604
2020,Republican,77,3204,0.1985532162506389
2020,Republican,78,2514,0.214120042283983
2020,Republican,79,1696,0.16845903129927497
2020,Republican,80,2158,0.20194466543199185
2020,Republican,81,2603,0.2233862624758775
2020,Republican,82,2659,0.23932502683267506
2020,Republican,83,2895,0.2182175513722054
2020,Republican,84,2727,0.23594425755785522
2020,Republican,85,2667,0.18286762660212835
2020,Republican,86,3049,0.27008087595111624
2020,Republican,87,3077,0.2288490713141625
2020,Republican,88,2360,0.22877213797626733
2020,Republican,89,2401,0.24187622113478777
2020,Republican,90,3943,0.1916522992665131
2020,Republican,91,2811,0.20377590020188194
2020,Republican,92,2736,0.2678601417128182
2020,Republican,93,2537,0.23687695426709296
2020,Republican,94,2840,0.286613991111517
2020,Republican,95,2068,0.23240980543389853
2020,Republican,96,628,0.2244625285855097
2020,Republican,97,1693,0.22883435930122664
2020,Republican,98,1721,0.16670317964085563
2020,Republican,99,1560,0.13021587884301344
2020,Republican,100,1834,0.11782663918812246
2020,Republican,101,1000,0.14212740472191945
2020,Republican,102,1522,0.14136077066560357
2020,Republican,103,1285,0.08182108560577035
2022,Democrat,0,3625,0.19185990066890574
2022,Democrat,1,3247,0.25327473580002585
2022,Democrat,2,2968,0.23240100077856735
2022,Democrat,3,2974,0.2317063759199908
2022,Democrat,4,2564,0.23085265490916584
2022,Democrat,5,2493,0.22609694866161692
2022,Democrat,6,2706,0.265768693673823
2022,Democrat,7,2555,0.24792270458398163
2022,Democrat,8,2152,0.2502089589464194
2022,Democrat,9,1736,0.23665277046083863
2022,Democrat,10,1876,0.23827708297734781
2022,Democrat,11,1501,0.24248983053633846
2022,Democrat,12,1974,0.24178506225241836
2022,Democrat,13,5368,0.25869742179311667
2022,Democrat,14,6289,0.28314275765046065
2022,Democrat,15,5744,0.28937612663674644
2022,Democrat,16,6398,0.2904905540801025
2022,Democrat,17,4922,0.24843629991559238
2022,Democrat,18,4537,0.300016343452575
2022,Democrat,19,6706,0.3305033516196635
2022,Democrat,20,5394,0.21932009774165087
2022,Democrat,21,6367,0.2851124034364195
2022,Democrat,22,5123,0.24288329637365638
2022,Democrat,23,4495,0.2947358763550882
2022,Democrat,24,5599,0.27311140507613335
2022,Democrat,25,6419,0.28293523051434166
2022,Democrat,26,5424,0.2020673969048223
2022,Democrat,27,5956,0.2757019699447025
2022,Democrat,28,4731,0.20080541804973434
2022,Democrat,29,4617,0.19467179265060056
2022,Democrat,30,5451,0.2298394550100448
2022,Democrat,31,6364,0.23089604158795776
2022,Democrat,32,5735,0.23448302747507976
2022,Democrat,33,6080,0.2510195013076698
2022,Democrat,34,6422,0.25269142223853586
2022,Democrat,35,8015,0.2651366118856439
2022,Democrat,36,6754,0.32422876293367775
2022,Democrat,37,4433,0.2562536534907062
2022,Democrat,38,5629,0.21960789337448167
2022,Democrat,39,6466,0.2351745428484189
2022,Democrat,40,5861,0.19341572205228752
2022,Democrat,41,5826,0.24217632924686283
2022,Democrat,42,5643,0.21358786472352922
2022,Democrat,43,5703,0.27467966993879406
2022,Democrat,44,3453,0.15922646183057187
2022,Democrat,45,4090,0.14972441277397264
2022,Democrat,46,7171,0.20549388863804763
2022,Democrat,47,8122,0.23700081706921966
2022,Democrat,48,8415,0.20962458154199334
2022,Democrat,49,5550,0.14875058020213366
2022,Democrat,50,9489,0.1813505980122761
2022,Democrat,51,7763,0.12416674223245361
2022,Democrat,52,7915,0.15914797005976067
2022,Democrat,53,7728,0.19022403119470443
2022,Democrat,54,7568,0.2380130819424526
2022,Democrat,55,6487,0.1734712986370021
2022,Democrat,56,5732,0.2013014482245462
2022,Democrat,57,6866,0.23307505670445652
2022,Democrat,58,7198,0.2339442575735134
2022,Democrat,59,6713,0.22184367655633128
2022,Democrat,60,6431,0.1715283217946193
2022,Democrat,61,5250,0.21965349378374716
2022,Democrat,62,5378,0.18894008141124946
