year,party,age_bracket,n,anger,anger_dev
2017,Republican,80,5439,0.15667221288987485,0.020513606010856472
2018,Democrat,35,2955,0.4082648276753232,0.03262552482372866
2018,Democrat,40,13209,0.339206164728226,-0.036433138123368514
2018,Democrat,45,7150,0.44152468505904885,0.06588538220745432
2018,Democrat,50,20540,0.35787003680380347,-0.017769266047791055
2018,Democrat,55,19519,0.33906480649646886,-0.03657449635512566
2018,Democrat,60,28276,0.3347457147551347,-0.04089358809645982
2018,Democrat,65,27779,0.4036754062384684,0.0280361033868739
2018,Democrat,70,28035,0.4203149638239368,0.04467566097234227
2018,Democrat,75,9078,0.36739896078382484,-0.00824034206776969
2018,Democrat,80,1502,0.4302855709074102,0.05464626805581568
2018,Democrat,85,790,0.5153505536804235,0.13971125082882896
2018,Republican,30,1453,0.09995691143299971,-0.04786930970326907
2018,Republican,35,3181,0.23159702310181396,0.08377080196554518
2018,Republican,40,4603,0.15358293196758005,0.005756710831311268
2018,Republican,45,15251,0.1613053385839952,0.013479117447726424
2018,Republican,50,12182,0.1547158893887819,0.006889668252513109
2018,Republican,55,20311,0.14278798447019025,-0.005038236666078527
2018,Republican,60,24205,0.1252000574685,-0.02262616366776879
2018,Republican,65,11210,0.15724620238169995,0.00941998124543117
2018,Republican,70,4697,0.13331169927570463,-0.01451452186056415
2018,Republican,75,3676,0.1633616457813621,0.015535424645093332
2018,Republican,80,3662,0.15816670363544624,0.010340482499177461
2018,Republican,85,254,0.16625399734113572,0.018427776204866936
2019,Democrat,25,1833,0.4595049370409981,0.12839057868413056
2019,Democrat,30,5868,0.21440084247733862,-0.11671351587952891
2019,Democrat,35,16429,0.2905057554921167,-0.04060860286475082
2019,Democrat,40,26222,0.282808022469739,-0.048306335887128515
2019,Democrat,45,29633,0.2972072792365107,-0.03390707912035684
2019,Democrat,50,38470,0.32954398313497174,-0.0015703752218957923
2019,Democrat,55,31849,0.33555889797118194,0.004444539614314402
2019,Democrat,60,38644,0.32580379808868715,-0.0053105602681803865
2019,Democrat,65,43505,0.355731911131629,0.024617552774761464
2019,Democrat,70,40632,0.3813552601743533,0.05024090181748575
2019,Democrat,75,14613,0.3438586780185218,0.01274431966165429
2019,Democrat,80,2687,0.38507962766944653,0.053965269312579
2019,Democrat,85,1095,0.39377923302786194,0.06266487467099441
2019,Republican,30,1266,0.20664010936832777,-0.05206358115529536
2019,Republican,35,11038,0.35028852794558085,0.09158483742195772
2019,Republican,40,6672,0.30659055855029993,0.0478868680266768
2019,Republican,45,23544,0.2501946698958669,-0.008509020627756214
2019,Republican,50,14817,0.25970868349763016,0.001004992974007024
2019,Republican,55,25992,0.22570536969292176,-0.032998320830701366
2019,Republican,60,32223,0.279596493144148,0.020892802620524842
2019,Republican,65,21954,0.25488902178335565,-0.0038146687402674795
2019,Republican,70,4461,0.1907774320987509,-0.06792625842487224
2019,Republican,75,4218,0.20021190811540346,-0.05849178240821967
2019,Republican,80,992,0.07809793162854359,-0.18060575889507954
