year,age_bracket,n,members,anger,share_angry,negative,joy,anger_se,anger_dev
2019,60,70867,91,0.30479348317161875,0.29721873368422536,0.22945037692264247,0.44444768886051816,0.0013911030846689826,-0.00472721928918074
2019,65,65459,92,0.3219106674103379,0.31503689332253776,0.24302750780662558,0.41762844128260745,0.0014670440029384217,0.012389964949538423
2019,70,45354,59,0.36160952240046634,0.36010054239978834,0.27950841408341365,0.3899086140237958,0.0018179031647520946,0.05208881993966685
2019,75,24576,32,0.3596679705466291,0.357421875,0.2643025517335147,0.39525288672468645,0.002453790259025911,0.05014726808582959
2019,80,3679,8,0.3023055470843485,0.29518891002989944,0.19880727937063872,0.46719390063461286,0.006132003897449975,-0.00721515537645101
2019,85,2198,4,0.2887128343728555,0.2825295723384895,0.23261159939632212,0.42601445437751345,0.007377108212669976,-0.020807868087943993
2020,30,6101,5,0.22886287988154524,0.20619570562202919,0.20960736874420338,0.40127332554717965,0.004144982813755623,-0.05915371669572256
2020,35,26170,25,0.2840537459176282,0.2707298433320596,0.24018249118102178,0.40105127878424834,0.0022249242657402944,-0.003962850659639583
2020,40,40841,38,0.3089822940045127,0.29612399304620357,0.2572083864551002,0.37620245918873796,0.001804534492444807,0.02096569742724491
2020,45,66419,58,0.2637108640590929,0.24742919947605355,0.2252899328508637,0.40416843956839066,0.0013497290116393618,-0.024305732518174916
2020,50,53874,63,0.28123883762286217,0.26658499461706947,0.23973843811471857,0.39780700112282424,0.0015448748708527037,-0.006777758954405633
2020,55,76180,94,0.2568992376769703,0.2402861643475978,0.21844619872889384,0.41681824984424365,0.00125066887384271,-0.031117358900297487
2020,60,79875,84,0.2804353698648466,0.26661658841940533,0.23364953261961743,0.39775669816997433,0.0012626020576575094,-0.00758122671242123
2020,65,80150,94,0.2902660872781979,0.27564566437928884,0.2352897716335126,0.3658830975725461,0.0012702476818960116,0.0022494907009301124
2020,70,58356,64,0.3534513063371815,0.3489958187675646,0.29899113747533973,0.33608146271182826,0.0015939423837016398,0.06543470975991372
2020,75,31458,34,0.30994165793162776,0.29553690635132557,0.26341935554479257,0.3541914825466469,0.002060540398838518,0.021925061354359954
2020,80,8684,13,0.2866994446552222,0.2756794104099493,0.23364619652178206,0.4039870640590329,0.0038955203251455255,-0.001317151922045623
2020,85,3182,5,0.2524533854482261,0.22972972972972974,0.22174949746003514,0.39740405533837986,0.005874254381481883,-0.035563211129041705
2021,25,1948,1,0.5245690883602947,0.545687885010267,0.40352189515482345,0.2566651910081127,0.008988722818532444,0.2233845866878555
2021,30,18730,12,0.32419000568198514,0.3190069407367859,0.26557543496668723,0.4033872688635791,0.002735003035638339,0.02300550400954593
2021,35,22824,22,0.3494752753353512,0.3463897651594812,0.28568261105307874,0.3869388427070329,0.002537594201801676,0.04829077366291201
2021,40,51884,44,0.34682360873798607,0.3443836250096369,0.29006706630165247,0.38373862754289834,0.001671084201011194,0.04563910706554686
2021,45,58097,59,0.26337318168891743,0.2510800901939859,0.21808606945592907,0.45163112580522774,0.0014407184890624623,-0.037811319983521774
2021,50,60841,60,0.340121646188243,0.3361877681168949,0.2857319436019798,0.38343035597594427,0.00153970785959874,0.03893714451580377
2021,55,95476,102,0.28970480469767884,0.2808035527252922,0.23931112904045754,0.432024165876128,0.0011645135798249576,-0.011479696974760367
2021,60,86163,89,0.2994078332144863,0.2922484128918445,0.2505064400481739,0.4271478597279115,0.0012495832058863586,-0.0017766684579529346
2021,65,83388,98,0.3160089772409082,0.30921715354727297,0.26194077766365337,0.39160353284070265,0.0012792042977685398,0.014824475568468998
2021,70,58368,71,0.265905207946034,0.25304961622807015,0.21077793180155854,0.46208551635796186,0.0014510375461559651,-0.0352792937264052
2021,75,30132,31,0.2609712401402875,0.24452409398645958,0.2217378300432641,0.4327547573879872,0.0019682749298612083,-0.04021326153215171
2021,80,10170,15,0.22312908588888924,0.2030481809242871,0.16738060538066576,0.49878398475842506,0.0032227991494250883,-0.07805541578354996
2021,85,4320,6,0.201467323151236,0.17685185185185184,0.1689684288002388,0.4761223840695392,0.004643887967381372,-0.09971717852120321
2022,25,410,1,0.46778385443045056,0.4658536585365854,0.3786441164190608,0.21947968915536453,0.0188670422190512,0.13891575784741972
2022,30,6942,9,0.3172304418622332,0.31302218380870067,0.2620988831155322,0.40778289211334245,0.004357043171352141,-0.011637654720797641
2022,35,20356,22,0.37273137244474785,0.37443505600314403,0.29772919487441185,0.3842318061831442,0.0027204433478516614,0.04386327586171701
2022,40,30583,40,0.35493433588909395,0.3528430827583952,0.28874601199423827,0.38485478447000077,0.002186502798224922,0.02606623930606311
2022,45,40861,57,0.3091598501858793,0.299772399109175,0.24521218348041335,0.4275639074141969,0.0018101888638397494,-0.01970824639715152
2022,50,51103,55,0.3617862589739672,0.3637751208343933,0.29964320131876726,0.3765637113355593,0.0016951702648008299,0.03291816239093637
2022,55,62230,92,0.3278881201291211,0.3245219347581552,0.2684506871222304,0.4182804754845522,0.0015005588434792928,-0.0009799764539097366
2022,60,62476,94,0.34029294440868896,0.3404507330815033,0.27997424612263927,0.40974378702324293,0.0015159935374345797,0.011424847825658113
