cycle,weeks_to_election,n,anger,share_angry,negative,anger_dev
2020,7,10665,0.287777177480159,0.2754805438349742,0.27465592693740287,-0.012312116139417184
2020,8,7868,0.29458415968421503,0.28380782918149466,0.25960416984764495,-0.005505133935361173
2020,9,8331,0.30088605124873624,0.29384227583723443,0.26763313389458293,0.0007967576291600387
2020,10,10233,0.3339057692283056,0.32268152057070265,0.272433403637495,0.03381647560872941
2020,11,10045,0.34720752890388196,0.3412643106022897,0.27705542796207155,0.047118235284305754
2020,12,9655,0.32373726930134555,0.31413775245986536,0.2884263239232358,0.02364797568176935
2020,13,11433,0.31945878733297733,0.3103297472229511,0.28572096370210903,0.01936949371340113
2020,14,11523,0.34721084486064824,0.3427058925627007,0.2820542172689257,0.047121551241072035
2020,15,10497,0.3171965098994445,0.30875488234733733,0.27032970005091034,0.017107216279868276
2020,16,9389,0.3373682186703983,0.32655234849291725,0.28147025781628,0.03727892505082209
2020,17,8887,0.28163633988068787,0.2692697198154608,0.24137217534797406,-0.018452953738888334
2020,18,11148,0.3687276840157121,0.36499820595622534,0.2918060783228403,0.0686383903961359
2020,19,10389,0.30320540293171755,0.29386851477524306,0.23063942866271198,0.0031161093121413463
2020,20,9536,0.3125014275073831,0.302118288590604,0.25096903519978936,0.012412133887806875
2020,21,9636,0.3441198856217343,0.34205064342050645,0.2519048263481258,0.04403059200215809
2020,22,9982,0.38296580221867843,0.38108595471849327,0.3302849500298047,0.08287650859910223
2020,23,8478,0.2404515109105463,0.2221042698749705,0.22014605383534444,-0.05963778270902989
2020,24,10714,0.2755437481851384,0.25900690685084937,0.24648618821131474,-0.02454554543443782
2020,25,11296,0.24372788297904774,0.22211402266288952,0.2205312003453135,-0.056361410640528464
2020,26,10710,0.22366448683515505,0.200093370681606,0.1978313018772701,-0.07642480678442115
2020,27,11296,0.2172965778091249,0.19378541076487252,0.19795050252625732,-0.0827927158104513
2020,28,11980,0.2596217809548175,0.23430717863105174,0.24140465111156964,-0.040467512664758676
2020,29,11225,0.1975083844278854,0.16953229398663697,0.1842085398996004,-0.1025809091916908
2020,30,11976,0.21134908902804125,0.18219772879091517,0.1907735790601116,-0.08874020459153495
2020,31,12398,0.1722565277278909,0.13849007904500726,0.1664566734338671,-0.1278327658916853
2020,32,15957,0.21040501993002675,0.17741430093375948,0.1936758006652673,-0.08968427368954945
2020,33,11943,0.19632261196424075,0.15707946077200033,0.18273858964807144,-0.10376668165533545
2020,34,9998,0.22564098525919604,0.20444088817763553,0.18022690850159845,-0.07444830836038016
2020,35,10338,0.26337196340321023,0.2488875991487715,0.216869673343846,-0.03671733021636597
2020,36,7381,0.2724784041960951,0.26364991193605203,0.21049213612850967,-0.02761088942348111
2020,37,7997,0.2935158421402026,0.2844816806302363,0.23347146678873018,-0.006573451479373604
2020,38,12785,0.3461078346054236,0.34438795463433713,0.2583077503367257,0.0460185409858474
2020,39,10402,0.3464267096569333,0.34397231301672754,0.2479361092098774,0.04633741603735708
2020,40,10789,0.3956721115443926,0.39938826582630454,0.28913919975463315,0.09558281792481638
2020,41,8334,0.34813528968731333,0.34269258459323254,0.24010311691585795,0.04804599606773713
2020,42,9065,0.3570849672664148,0.3534473248758963,0.27336594069651926,0.05699567364683861
2020,43,5643,0.38647054990823837,0.39677476519581784,0.31669400652208973,0.08638125628866217
2020,44,4197,0.24963846388132033,0.243269001667858,0.2149203229003058,-0.050450829738255876
2020,45,10437,0.3777143967495759,0.37779055284085467,0.2674945101921244,0.0776251031299997
2020,46,13564,0.3490585715217145,0.3391329991153052,0.2469082493044657,0.048969277902138286
2020,47,14235,0.38317313373933143,0.3843343870741131,0.28239180141160986,0.08308384011975523
2020,48,6547,0.2637988418504344,0.252940277989919,0.20220932812707249,-0.03629045176914181
2020,49,11836,0.33048010951347684,0.3213923622845556,0.2383179041249668,0.030390815893900636
2020,50,13923,0.3760761555949091,0.37484737484737485,0.27852664224492474,0.07598686197533289
2020,51,9580,0.23968595372071094,0.23079331941544884,0.1732502328656701,-0.06040333989886526
2020,52,11032,0.31825520809233476,0.3107324147933285,0.24334141122710737,0.01816591447275856
2020,53,12403,0.3119890346693753,0.29831492380875596,0.23553865270675126,0.011899741049799073
2020,54,11269,0.34548517718716293,0.34173396042239773,0.26471077657702285,0.045395883567586726
2020,55,6778,0.31641135928668984,0.31380938329890823,0.2422088326049473,0.01632206566711364
2020,56,7298,0.31990817655302217,0.3173472184160044,0.23907712101843023,0.01981888293344597
2020,57,8394,0.3483095733092267,0.3451274720038123,0.26396533208772577,0.04822027968965048
2020,58,9180,0.3152083560893635,0.3089324618736383,0.24866572650760582,0.015119062469787281
2020,59,8569,0.29203853868876767,0.2852141440074688,0.23596644750230417,-0.008050754930808535
2020,60,7578,0.2835499120317436,0.27381894959092107,0.2422752832731339,-0.01653938158783258
2020,61,6072,0.2418511241855565,0.22842555994729907,0.21600257055583544,-0.058238169434019715
2020,62,6037,0.25935407759778634,0.2506211694550273,0.22009264417012525,-0.040735216021789866
2020,63,5862,0.29252567719387734,0.28710337768679633,0.23652441249379666,-0.00756361642569886
2020,64,6052,0.28523520418922604,0.27709847984137476,0.23786438530451334,-0.01485408943035016
2020,65,6759,0.3201946627731304,0.31395176801301966,0.28988994689473163,0.02010536915355421
2020,66,8446,0.33148118322662234,0.3248875207198674,0.23734832754309002,0.03139188960704614
2020,67,8293,0.3048630790546818,0.2960327987459303,0.23434738983861111,0.004773785435105593
2020,68,9612,0.3484043384659175,0.34176029962546817,0.26843557774165555,0.048315044846341304
2020,69,5869,0.2851575068557566,0.283012438234793,0.22279164675962726,-0.014931786763819621
2020,70,9123,0.31671028951013297,0.30976652416968103,0.2374504684026664,0.016620995890556767
2020,71,9677,0.31225338907437616,0.3042265164823809,0.2377201989048767,0.012164095454799961
2020,72,9157,0.2799196448050729,0.2702850278475483,0.2209226915767054,-0.020169648814503283
2020,73,8921,0.2597922235349655,0.24604864925456787,0.2062551948157289,-0.0402970700846107
2020,74,8254,0.260787172936752,0.24897019626847589,0.2128739631743533,-0.03930212068282418
2020,75,7608,0.27401939550315896,0.26353838065194535,0.20901742568571463,-0.026069898116417245
2020,76,9641,0.2945371209850506,0.28835183072295406,0.20953373242848694,-0.005552172634525621
2020,77,9202,0.27278538645221656,0.2628776352966746,0.20968320481961428,-0.027303907167359642
2020,78,7453,0.28968776609179037,0.2867301757681471,0.23432703516381856,-0.010401527527785837
2020,79,4579,0.24593333189025257,0.2336754749945403,0.20571370951150594,-0.05415596172932363
2020,80,6752,0.266637591280634,0.25148104265402843,0.20756631800043823,-0.03345170233894218
2020,81,7459,0.2716766517143759,0.25995441748223624,0.20493095346757786,-0.02841264190520032
