name,party,n,n_night,daytime,nighttime,night_minus_day
Yassamin Ansari,Democrat,3512,390.0,0.5950950950950951,0.6410256410256411,0.04593054593054602
Edward J. Markey,Democrat,19329,574.0,0.3966947547194461,0.4425087108013937,0.045813956081947604
Robin L. Kelly,Democrat,8992,324.0,0.2820919175911252,0.3271604938271605,0.04506857623603533
Margaret Wood Hassan,Democrat,12823,328.0,0.2272635612018552,0.27134146341463417,0.04407790221277896
"Carper, Thomas ",Democrat,12583,440.0,0.1768661735036987,0.22045454545454546,0.04358837195084675
Patty Murray,Democrat,10883,1573.0,0.4817173003456431,0.5251112523839797,0.043393952038336625
"Bishop, Dan",Republican,4002,314.0,0.5500485908649174,0.5923566878980892,0.04230809703317173
Chuck Grassley,Republican,7381,808.0,0.2968066491688539,0.33910891089108913,0.042302261722235224
Michael Baumgartner,Republican,1464,356.0,0.2479740680713128,0.2893258426966292,0.04135177462531639
Josh Gottheimer,Democrat,13508,652.0,0.1997941327843541,0.24079754601226994,0.04100341322791584
"Menendez, Bob",Democrat,17271,423.0,0.3160071694471253,0.35697399527186763,0.040966825824742314
Ted Cruz,Republican,50753,4413.0,0.44865284471326455,0.4892363471561296,0.04058350244286507
Amy Klobuchar,Democrat,14557,1544.0,0.28006609229316654,0.31994818652849744,0.0398820942353309
"Cardin, Benjamin",Democrat,14034,560.0,0.23034330011074197,0.26964285714285713,0.03929955703211516
Elissa Slotkin,Democrat,5620,392.0,0.19579675445597233,0.23469387755102042,0.038897123095048086
Debbie Wasserman Schultz,Democrat,13095,568.0,0.40136422693806845,0.44014084507042256,0.03877661813235411
Dan Newhouse,Republican,4230,356.0,0.17521739130434782,0.21348314606741572,0.0382657547630679
Claudia Tenney,Republican,13098,995.0,0.45750473484848486,0.49547738693467336,0.037972652086188496
"Eric A. ""Rick"" Crawford",Republican,8294,371.0,0.19730718085106383,0.23450134770889489,0.03719416685783106
Raja Krishnamoorthi,Democrat,4603,634.0,0.4552380952380952,0.49053627760252366,0.03529818236442844
Lisa Murkowski,Republican,4499,722.0,0.08283002588438308,0.11772853185595568,0.034898505971572596
Warren Davidson,Republican,5385,1188.0,0.41741988496302385,0.4503367003367003,0.03291681537367647
Katie Boyd Britt,Republican,5060,514.0,0.259185036740147,0.2918287937743191,0.032643757034172105
Rob Portman R-OH,Republican,19132,870.0,0.16177849203160574,0.19425287356321838,0.03247438153161264
Kevin Cramer,Republican,11657,726.0,0.21975981181131607,0.25206611570247933,0.03230630389116326
Ritchie Torres,Democrat,8590,781.0,0.37409247229652276,0.4058898847631242,0.03179741246660145
Robert Garcia,Democrat,2861,597.0,0.5883268482490273,0.6197654941373534,0.03143864588832612
Thomas P. Tiffany,Republican,3843,520.0,0.6076624636275461,0.6384615384615384,0.030799074833992357
Norma J. Torres,Democrat,5056,687.0,0.3196022727272727,0.34934497816593885,0.02974270543866614
Abraham J. Hamadeh,Republican,1942,391.0,0.2926587301587302,0.32225063938618925,0.02959190922745908
Gregory F. Murphy,Republican,5536,469.0,0.39481836102506335,0.42430703624733473,0.029488675222271388
Troy A. Carter,Democrat,3094,330.0,0.21008403361344538,0.23939393939393938,0.029309905780494
Gregory W. Meeks,Democrat,8117,543.0,0.3895377529198881,0.4180478821362799,0.02851012921639179
Mike Quigley,Democrat,19651,558.0,0.24415214151493553,0.2724014336917563,0.02824929217682076
Mike Lee,Republican,32291,3046.0,0.4563609084794868,0.48456992777413,0.0282090192946432
Brendan F. Boyle,Democrat,14515,2588.0,0.29536703515091295,0.3234157650695518,0.028048729918638826
Debbie Mucarsel-Powell D-FL,Democrat,4640,383.0,0.29854522454142945,0.3263707571801567,0.027825532638727224
Tim Burchett,Republican,15741,2936.0,0.3250900360144058,0.3518392370572207,0.02674920104281492
Richard Blumenthal,Democrat,26883,1435.0,0.40741699901590095,0.43414634146341463,0.026729342447513682
Salud O. Carbajal,Democrat,8224,337.0,0.18572455951096728,0.21068249258160238,0.024957933070635097
Nick LaLota,Republican,3326,331.0,0.32554517133956384,0.3504531722054381,0.024908000865874247
Juan Ciscomani,Republican,2970,456.0,0.1135397692774742,0.13815789473684212,0.024618125459367923
Tammy Duckworth,Democrat,13250,701.0,0.39238605898123324,0.4165477888730385,0.02416172989180526
Barry Loudermilk,Republican,3976,433.0,0.2809224318658281,0.30484988452655887,0.023927452660730764
Al Green,Democrat,5086,409.0,0.2573814494482553,0.28117359413202936,0.023792144683774052
Alex Padilla,Democrat,9159,696.0,0.35983479607640684,0.38362068965517243,0.023785893578765593
Todd Young,Republican,13041,455.0,0.15229011634000628,0.17582417582417584,0.02353405948416956
John Kennedy,Republican,7738,724.0,0.4573791348600509,0.47928176795580113,0.021902633095750246
Shelley Moore Capito,Republican,16599,455.0,0.11693142192948469,0.13846153846153847,0.021530116532053778
Mike Thompson,Democrat,17867,1505.0,0.1356489295549436,0.1568106312292359,0.021161701674292294
Derrick Van Orden,Republican,9522,1771.0,0.410807669959326,0.43195934500282324,0.021151675043497242
Ro Khanna,Democrat,36028,6792.0,0.39272224291110286,0.41386925795053003,0.021147015039427175
Tim Ryan D-OH,Democrat,9769,530.0,0.2455390801708972,0.2660377358490566,0.020498655678159394
Ashley Hinson,Republican,8093,595.0,0.34054471701757777,0.3596638655462185,0.019119148528640717
Sheldon Whitehouse,Democrat,27507,1157.0,0.4429172795049957,0.46153846153846156,0.018621182033465855
Pete Olson R-TX,Republican,8009,368.0,0.14254787676935887,0.16032608695652173,0.017778210187162857
Jodey C. Arrington,Republican,6153,433.0,0.3273969260795316,0.3441108545034642,0.0167139284239326
"Greene, Marjorie Taylor",Republican,2996,301.0,0.6658464566929134,0.6810631229235881,0.015216666230674636
Lance Gooden,Republican,5471,777.0,0.7243547319655858,0.7387387387387387,0.01438400677315299
Andrew Ogles,Republican,3754,424.0,0.5610948191593352,0.5754716981132075,0.014376878953872296
Jeanne Shaheen,Democrat,16139,328.0,0.2242152466367713,0.23780487804878048,0.013589631412009168
Bonnie Watson Coleman,Democrat,9045,347.0,0.36687842910771007,0.3804034582132565,0.013525029105546427
Gary C. Peters,Democrat,12175,443.0,0.15893968662803176,0.17155756207674944,0.012617875448717675
Lloyd Doggett,Democrat,18701,898.0,0.3864136010552543,0.3986636971046771,0.012250096049422787
Lori Trahan,Democrat,10701,442.0,0.22092307692307692,0.2330316742081448,0.012108597285067885
Peter Meijer R-MI,Republican,1620,457.0,0.2813953488372093,0.29321663019693656,0.011821281359727265
W. Gregory Steube,Republican,7067,440.0,0.512035472972973,0.5227272727272727,0.01069179975429968
Terri A. Sewell,Democrat,11288,520.0,0.18564237775647172,0.19615384615384615,0.010511468397374435
J. French Hill,Republican,5500,354.0,0.163302752293578,0.17231638418079095,0.009013631887212964
"Jesús G. ""Chuy"" García",Democrat,11463,492.0,0.2838815022160019,0.2926829268292683,0.008801424613266384
Linda T. Sánchez,Democrat,2873,501.0,0.2771450265755505,0.28542914171656686,0.008284115141016346
Elijah Crane,Republican,5500,1460.0,0.4049694856146469,0.413013698630137,0.008044213015490076
John Cornyn,Republican,15584,5966.0,0.3328426862925483,0.34076433121019106,0.007921644917642745
Josh Hawley,Republican,14030,1393.0,0.5038852361028093,0.511127063890883,0.007241827788073696
Gabe Evans,Republican,1506,315.0,0.39381153305203936,0.4,0.006188466947960658
Nancy Mace,Republican,27921,3294.0,0.422739809990806,0.4286581663630844,0.005918356372278388
Rand Paul,Republican,20298,1528.0,0.3809086737035337,0.38612565445026176,0.0052169807467280505
Gus M. Bilirakis,Republican,9214,580.0,0.17080960977641993,0.17586206896551723,0.0050524591890973025
Janice D. Schakowsky,Democrat,5259,435.0,0.36975028376844493,0.37471264367816093,0.0049623599097159965
Alma S. Adams,Democrat,8173,336.0,0.21338717192110576,0.21726190476190477,0.0038747328407990056
Paul Tonko,Democrat,13739,425.0,0.22857395299522884,0.23058823529411765,0.0020142822988888087
Thomas Massie,Republican,26768,4951.0,0.3830339913908268,0.3847707533831549,0.0017367619923281397
Henry Cuellar,Democrat,9827,319.0,0.07036683485612982,0.07210031347962383,0.001733478623494003
Bill Huizenga,Republican,9704,905.0,0.24698532616591604,0.24861878453038674,0.001633458364470708
Mary Gay Scanlon,Democrat,11937,967.0,0.3037332366799565,0.3050672182006205,0.001333981520663996
"Stabenow, Debbie",Democrat,7559,321.0,0.1762684124386252,0.17757009345794392,0.0013016810193187123
Anna Paulina Luna,Republican,11236,715.0,0.40211559098574273,0.4027972027972028,0.0006816118114600922
Mark Alford,Republican,4954,536.0,0.3225152129817444,0.32276119402985076,0.00024598104810635846
Stephen F. Lynch,Democrat,5457,397.0,0.17625093353248694,0.17380352644836272,-0.00244740708412422
Steve Scalise,Republican,3639,460.0,0.6399790685504971,0.6369565217391304,-0.003022546811366711
Nancy Pelosi,Democrat,16582,3257.0,0.3140774733432312,0.3107153822536076,-0.003362091089623598
James Comer,Republican,4306,324.0,0.5422004521477016,0.5370370370370371,-0.005163415110664538
"Johnson, Bill",Republican,7907,322.0,0.1891156462585034,0.18322981366459629,-0.005885832593907125
Jahana Hayes,Democrat,9143,546.0,0.09036330049261083,0.08424908424908426,-0.0061142162435265796
Rick Larsen,Democrat,16516,1003.0,0.13881414122668645,0.13260219341974078,-0.006211947806945672
"Brown, Sherrod",Democrat,9482,301.0,0.2820610687022901,0.2757475083056478,-0.00631356039664227
Barbara Comstock R-VA,Republican,2211,302.0,0.04944649446494465,0.04304635761589404,-0.006400136849050615
Dennis Ross R-FL,Republican,9874,1438.0,0.29649070185962806,0.2899860917941586,-0.006504610065469485
Young Kim,Republican,7994,798.0,0.24426631039857494,0.23684210526315788,-0.007424205135417056
"Swalwell, Eric",Democrat,18495,1607.0,0.3193822534953852,0.3117610454262601,-0.007621208069125085
Sylvia R. Garcia,Democrat,11100,700.0,0.2124289195775792,0.2042857142857143,-0.008143205291864908
Joyce Beatty,Democrat,13105,549.0,0.2151815799326095,0.2058287795992714,-0.009352800333338102
Chip Roy,Republican,12830,1177.0,0.5126123876123876,0.5029736618521665,-0.009638725760221067
Mark Walker R-NC,Republican,4396,327.0,0.16878290492412512,0.15902140672782875,-0.009761498196296375
Ted Deutch D-FL,Democrat,11777,1271.0,0.36490384615384613,0.3548387096774194,-0.010065136476426761
Ilhan Omar,Democrat,15970,921.0,0.4240352191832147,0.41368078175895767,-0.010354437424257013
"Gaetz, Matt",Republican,7488,607.0,0.514978601997147,0.5041186161449753,-0.010859985852171627
Joni Ernst,Republican,13093,965.0,0.3551177318596829,0.34404145077720205,-0.011076281082480821
Eric Schmitt,Republican,7703,702.0,0.5112612612612613,0.5,-0.011261261261261257
"Donald S. Beyer, Jr.",Democrat,18036,700.0,0.48221193961920655,0.47,-0.01221193961920658
Martin Heinrich,Democrat,5467,934.0,0.34118570867687475,0.32762312633832974,-0.013562582338545015
Byron Donalds,Republican,4449,302.0,0.45778114350624766,0.44370860927152317,-0.014072534234724488
Kathy Castor,Democrat,12985,879.0,0.2103648863035431,0.1956769055745165,-0.014687980729026606
Elise M. Stefanik,Republican,22850,2152.0,0.41675370795905575,0.40195167286245354,-0.014802035096602217
Maria Elvira Salazar,Republican,9181,589.0,0.22946730803491894,0.21392190152801357,-0.015545406506905363
Stephanie I. Bice,Republican,4529,447.0,0.2997560125479261,0.2841163310961969,-0.015639681451729226
Mike Rounds,Republican,6180,338.0,0.1052158273381295,0.08875739644970414,-0.016458430888425357
Thom Tillis,Republican,8188,374.0,0.19859545974195655,0.18181818181818182,-0.01677727792377473
Burgess Owens,Republican,6849,918.0,0.3802936194240542,0.3627450980392157,-0.017548521384838534
Yvette D. Clarke,Democrat,10991,557.0,0.3407503846609066,0.3231597845601436,-0.01759060010076302
Jason Smith,Republican,8680,705.0,0.4256720669396475,0.4056737588652482,-0.019998308074399285
Darrell Issa,Republican,3930,747.0,0.6025039123630673,0.5823293172690763,-0.020174595093991
Kevin Kiley,Independent,3132,373.0,0.5637162586315129,0.5415549597855228,-0.02216129884599005
Tommy Tuberville,Republican,7462,609.0,0.4363560732113145,0.41379310344827586,-0.02256296976303862
Emanuel Cleaver,Democrat,14471,301.0,0.2750642673521851,0.25249169435215946,-0.02257257300002563
"Duncan, Jeff",Republican,12239,775.0,0.3686328619064045,0.34580645161290324,-0.022826410293501243
Carolyn Maloney D-NY,Democrat,15472,336.0,0.2833734565504388,0.25892857142857145,-0.02444488512186732
Orrin Hatch R-UT,Republican,6994,379.0,0.19111765944011788,0.1662269129287599,-0.024890746511357975
Jose Serrano D-NY,Democrat,4267,533.0,0.15707515233581584,0.13133208255159476,-0.025743069784221084
