year,month,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2017,6,25230,0.29307288039622226,0.28069758224336105,0.23291732211000146,0.2917476624041114,0.4151447926903032,0.4688224012610029,0.15593682355207755,0.1637926889177422,0.002259039438502753,0.004254670282104578
2017,7,24316,0.3002204677277876,0.2910018095081428,0.22434077629234697,0.293603909379023,0.4183771455524437,0.4820018251586462,0.1327938196583251,0.14578777626716766,0.0023332222491414716,0.01140225761366992
2017,8,23839,0.2438275044110588,0.22635177650069213,0.18668417873941986,0.2340990835052435,0.4737807848797589,0.5219321277312637,0.14096009712140037,0.12618740951221874,0.00224358248010071,-0.04499070570305888
2017,9,27891,0.2387629843601785,0.21874439783442687,0.19144683670685642,0.23716266722595375,0.44075767924573006,0.5208414058704692,0.14268415513583352,0.1448201822697783,0.0020046196556983667,-0.05005522575393917
2017,10,28357,0.26006545816110144,0.23659061254716648,0.20856448484305207,0.2643823641746863,0.3848708094908053,0.45047473349302813,0.1633519405753156,0.14985385732419168,0.0020171410505308227,-0.028752751953016242
2017,11,21030,0.29819184260493115,0.2853542558250119,0.22929173867998506,0.2947274476407991,0.43899556042510696,0.49267643623585894,0.13026509292847094,0.14218146463599687,0.002530424792121413,0.009373632490813466
2017,12,18106,0.3181014019757079,0.30857174417320227,0.2399878864120749,0.30754117588374236,0.43894459917352524,0.5015201163026063,0.13594929556061217,0.1455188196401508,0.002814527415997695,0.02928319186159023
2018,1,23333,0.32072042253157435,0.31221874598208543,0.23674836147592676,0.3083183365701043,0.43093805666561896,0.5202265466249756,0.14569015000817975,0.1541192891633891,0.00245318349546783,0.03341357589463262
2018,2,19597,0.2761580497301249,0.26162167678726334,0.21642746596455265,0.2684198722897283,0.463203544865849,0.5364958265532523,0.1657858907130496,0.14126012064009466,0.002543857258250524,-0.011148796906816805
2018,3,21826,0.25133503555585784,0.23659855218546688,0.1910360130953873,0.2425034352328004,0.49132503290032314,0.566153241167618,0.16438773717140212,0.1288647977883179,0.0023128557634771022,-0.03597181108108388
2018,4,24598,0.2673001996421656,0.254288966582649,0.20458796915162908,0.2608228305972277,0.4712006705506146,0.5442205479999381,0.15436927053637206,0.14702861484428512,0.0022416618756358865,-0.02000664699477611
2018,5,25298,0.257533423528778,0.24646217092260259,0.19765764725213025,0.24930701617950585,0.49654281410778217,0.566537051128893,0.14872862892393257,0.13738230992416275,0.0021962188827899997,-0.02977342310816372
2018,6,22688,0.3433715446704124,0.34106135401974613,0.2652692948734438,0.33452026204981716,0.3962937402708283,0.49152832788051803,0.18675609618102396,0.17737731221008832,0.002551076397972396,0.056064698033470695
2018,7,24664,0.3362268704518934,0.33254946480700615,0.2495926503015765,0.32246721374704945,0.4164403178510012,0.4977442766858639,0.1746210377675495,0.14485994492286072,0.00242663321077265,0.048920023814951696
2018,8,21174,0.2696065426597025,0.2563993577028431,0.2064197734982831,0.2590908961997319,0.48249976752045315,0.5622295788528868,0.1530217548296767,0.1494444119505388,0.00245404174826323,-0.017700303977239207
2018,9,23192,0.2659851496911359,0.2515091410831321,0.21162818645690332,0.25662551449148613,0.4454357121269673,0.5410101824400828,0.17334738014130846,0.14728945290348783,0.0023191332820893065,-0.021321696945805824
2018,10,23317,0.282992453265635,0.2731912338637046,0.2293673707349841,0.2719364092695587,0.46755312092538504,0.5541950594545846,0.17596100451708385,0.14589633485406578,0.0023954868022293685,-0.004314393371306735
2018,11,18223,0.26009698908553525,0.24858695055698843,0.2088603825626019,0.24735125367004976,0.49495643870954104,0.5841896615845842,0.16179179849584213,0.13633910092566429,0.0026199818584687826,-0.02720985755140648
2018,12,19016,0.3113108409512492,0.3060054690786706,0.24989978152064643,0.301877951267185,0.4378289026912248,0.5190080679725312,0.1649908591984411,0.18423211050188393,0.0027289101103706876,0.024003994314307497
